query_frame_index,query_time_s,query_timecode,prediction_target,pred_latitude,pred_longitude,raw_pred_latitude,raw_pred_longitude,matched_reference_image,matched_reference_flight,matched_reference_frame_index,matched_reference_time_s,matched_reference_timecode,retrieval_distance,retrieval_similarity,selected_query_scale,orb_good_matches,homography_inliers,mean_match_distance,verification_inlier_ratio,projected_center_x,projected_center_y,projected_center_inside,homography_quad_area_frac,homography_geometry_ok,verification_geometry_reason,query_inlier_bbox_area_frac,query_inlier_bbox_width_frac,query_inlier_bbox_height_frac,reference_inlier_bbox_area_frac,reference_inlier_bbox_width_frac,reference_inlier_bbox_height_frac,temporal_filter_enabled,filter_accepted,filter_reason,filter_visual_score,filter_temporal_distance_m,filter_fused_score,truth_latitude_eval_only,truth_longitude_eval_only,error_m_eval_only,processing_time_ms,debug_image,resolved_reference_image,debug_match_backend,debug_good_matches_recomputed,debug_inliers_recomputed,debug_homography_found,debug_reference_path,debug_selected_query_scale_used,debug_query_accepted_masks,debug_reference_accepted_masks
4455,148.649,00:02:28.648,center,32.10473210,35.20448539,32.10473210,35.20448539,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008880.jpg,DJI_0008,8880,296.296,00:04:56.296,0.292523,0.707477,0.3000,220,91,300.768,0.413636,1262.585,440.141,1,1.895491,1,ok,0.087699,0.291992,0.300347,0.080037,0.274414,0.291667,0,1,accepted,6.506752,,6.506752,,,,9721.01,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0000_query_004455_ref_DJI_0008_8880_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008880.jpg,LightGlue,220,91,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008880.jpg,0.3000,0,0
4905,163.663,00:02:43.664,center,32.10349836,35.20353054,32.10349836,35.20353054,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004380.jpg,DJI_0008,4380,146.146,00:02:26.146,0.324729,0.675271,0.3000,78,34,504.507,0.435897,483.261,672.992,1,1.715376,1,ok,0.014954,0.087891,0.170139,0.014348,0.088867,0.161458,0,1,accepted,2.184805,,2.184805,,,,8185.59,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0001_query_004905_ref_DJI_0008_4380_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004380.jpg,LightGlue,78,34,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004380.jpg,0.3000,0,0
5670,189.189,00:03:09.189,center,32.10399478,35.20389685,32.10399478,35.20389685,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,DJI_0008,4440,148.148,00:02:28.148,0.275823,0.724177,0.3000,168,67,396.548,0.398810,588.306,434.384,1,0.835076,1,ok,0.071801,0.268555,0.267361,0.057739,0.251953,0.229167,0,1,accepted,4.780547,,4.780547,,,,8179.44,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0002_query_005670_ref_DJI_0008_4440_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,LightGlue,168,67,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,0.3000,0,0
5760,192.192,00:03:12.192,center,32.10399478,35.20389685,32.10399478,35.20389685,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,DJI_0008,4440,148.148,00:02:28.148,0.324601,0.675399,0.3000,133,59,432.935,0.443609,622.756,281.830,1,0.762527,1,ok,0.108770,0.321289,0.338542,0.060527,0.232422,0.260417,0,1,accepted,4.054659,,4.054659,,,,7931.38,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0003_query_005760_ref_DJI_0008_4440_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,LightGlue,133,59,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_004440.jpg,0.3000,0,0
7515,250.751,00:04:10.751,center,32.10467622,35.20333357,32.10467622,35.20333357,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022950.jpg,DJI_0008,22950,765.765,00:12:45.765,0.288044,0.711956,0.3000,112,34,355.769,0.303571,611.517,603.221,1,1.079827,1,ok,0.059160,0.233398,0.253472,0.052704,0.193359,0.272569,0,1,accepted,4.080054,,4.080054,,,,7982.21,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0004_query_007515_ref_DJI_0008_22950_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022950.jpg,LightGlue,112,34,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_022950.jpg,0.3000,0,0
9720,324.324,00:05:24.324,center,32.10490441,35.20440889,32.10490441,35.20440889,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008820.jpg,DJI_0008,8820,294.294,00:04:54.294,0.328172,0.671828,0.2000,43,11,546.141,0.255814,1358.984,214.703,1,0.024881,1,ok,0.005081,0.079102,0.064236,0.007228,0.084961,0.085069,0,1,accepted,-0.272970,,-0.272970,,,,6594.48,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0005_query_009720_ref_DJI_0008_8820_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008820.jpg,LightGlue,43,11,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_008820.jpg,0.2000,0,0
15345,512.011,00:08:32.011,center,32.10519743,35.20310890,32.10519743,35.20310890,data\processed\reference_frames\DJI_0008\DJI_0008_frame_023820.jpg,DJI_0008,23820,794.794,00:13:14.794,0.339547,0.660453,0.2000,36,11,428.951,0.305556,1234.896,192.704,1,0.255387,1,ok,0.010147,0.092773,0.109375,0.011642,0.106445,0.109375,0,1,accepted,1.163592,,1.163592,,,,7521.07,data\processed\debug_matches\DJI_0010_stage10_3_SEED_anchor_feature_debug\feature_match_0006_query_015345_ref_DJI_0008_23820_accepted.jpg,data\processed\reference_frames\DJI_0008\DJI_0008_frame_023820.jpg,LightGlue,36,11,1,data\processed\reference_frames\DJI_0008\DJI_0008_frame_023820.jpg,0.2000,0,0
