query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v14,840,data/processed/frames_v14_1fps/frame_000029.jpg,v13,9682,58.650106922625895,v12,3358,data/processed/frames_v12_1fps/frame_000113.jpg,4,0.9778603911399841,517,278,0.5377176015473888,36.03489216818918
v14,870,data/processed/frames_v14_1fps/frame_000030.jpg,v12,3388,33.31128479543566,v12,3418,data/processed/frames_v12_1fps/frame_000115.jpg,3,0.9764407873153687,533,313,0.5872420262664165,31.466610193347268
v14,900,data/processed/frames_v14_1fps/frame_000031.jpg,v13,18914,93.06435831149975,v12,3448,data/processed/frames_v12_1fps/frame_000116.jpg,3,0.9775183200836182,508,309,0.6082677165354331,28.381713781561714
v14,930,data/processed/frames_v14_1fps/frame_000032.jpg,v12,3478,25.453278250798533,v12,3478,data/processed/frames_v12_1fps/frame_000117.jpg,1,0.9740193486213684,530,284,0.5358490566037736,25.453278250798533
v14,960,data/processed/frames_v14_1fps/frame_000033.jpg,v13,18914,93.55843354406822,v12,3538,data/processed/frames_v12_1fps/frame_000119.jpg,3,0.9749893546104431,514,252,0.490272373540856,24.031621777989876
v14,990,data/processed/frames_v14_1fps/frame_000034.jpg,v12,3538,20.040586345433592,v12,3568,data/processed/frames_v12_1fps/frame_000120.jpg,5,0.9741393327713013,514,268,0.5214007782101168,21.346755203505584
v14,1020,data/processed/frames_v14_1fps/frame_000035.jpg,v12,3538,21.07229286730899,v12,3598,data/processed/frames_v12_1fps/frame_000121.jpg,4,0.9760497212409973,484,283,0.5847107438016529,18.12168160527414
v14,1050,data/processed/frames_v14_1fps/frame_000036.jpg,v12,3538,27.0058335928734,v12,3568,data/processed/frames_v12_1fps/frame_000120.jpg,2,0.977505624294281,502,279,0.5557768924302788,19.3389952899246
v14,1080,data/processed/frames_v14_1fps/frame_000037.jpg,v12,3718,32.59990693075694,v12,3658,data/processed/frames_v12_1fps/frame_000123.jpg,5,0.9769012331962585,490,260,0.5306122448979592,12.11548490296622
v14,1110,data/processed/frames_v14_1fps/frame_000038.jpg,v12,3718,22.950205393923802,v12,3688,data/processed/frames_v12_1fps/frame_000124.jpg,2,0.9838089346885681,506,271,0.5355731225296443,11.225580686658736
v14,1140,data/processed/frames_v14_1fps/frame_000039.jpg,v12,3718,14.843831413071927,v12,3688,data/processed/frames_v12_1fps/frame_000124.jpg,2,0.9842775464057922,507,286,0.5641025641025641,6.9858814715732835
v14,1170,data/processed/frames_v14_1fps/frame_000040.jpg,v12,3718,10.951483605578078,v12,3718,data/processed/frames_v12_1fps/frame_000125.jpg,1,0.9882155060768127,549,286,0.5209471766848816,10.951483605578078
v14,1200,data/processed/frames_v14_1fps/frame_000041.jpg,v12,3718,15.787885019097873,v12,3748,data/processed/frames_v12_1fps/frame_000126.jpg,2,0.9853577613830566,504,263,0.5218253968253969,19.33245715547594
v14,1230,data/processed/frames_v14_1fps/frame_000042.jpg,v12,3748,22.733949000580466,v13,14568,data/processed/frames_v13_1fps/frame_000487.jpg,3,0.9869359135627747,570,385,0.6754385964912281,30.60353731821334
v14,1260,data/processed/frames_v14_1fps/frame_000043.jpg,v12,3808,24.066232588364215,v13,14568,data/processed/frames_v13_1fps/frame_000487.jpg,3,0.9895004630088806,617,459,0.7439222042139384,30.045262726322907
v14,1290,data/processed/frames_v14_1fps/frame_000044.jpg,v12,3868,17.592775172277122,v12,3868,data/processed/frames_v12_1fps/frame_000130.jpg,1,0.9893745183944702,559,291,0.5205724508050089,17.592775172277122
v14,1320,data/processed/frames_v14_1fps/frame_000045.jpg,v12,3898,16.963206226446356,v13,14658,data/processed/frames_v13_1fps/frame_000490.jpg,3,0.9893443584442139,648,469,0.7237654320987654,2.684718891828185
v14,1350,data/processed/frames_v14_1fps/frame_000046.jpg,v12,3898,16.877479404361367,v13,19394,data/processed/frames_v13_1fps/frame_000648.jpg,3,0.9914102554321289,612,417,0.6813725490196079,1.2408574382407238
v14,1380,data/processed/frames_v14_1fps/frame_000047.jpg,v12,3927,16.365053715483466,v13,19424,data/processed/frames_v13_1fps/frame_000649.jpg,3,0.9912116527557373,618,509,0.8236245954692557,4.3414930072760285
v14,1410,data/processed/frames_v14_1fps/frame_000048.jpg,v12,3927,22.81250872810529,v13,19424,data/processed/frames_v13_1fps/frame_000649.jpg,2,0.991837203502655,620,505,0.8145161290322581,10.42837585618172
v14,1440,data/processed/frames_v14_1fps/frame_000049.jpg,v12,3987,16.31601132541602,v12,3987,data/processed/frames_v12_1fps/frame_000134.jpg,1,0.9904190897941589,619,455,0.7350565428109854,16.31601132541602
v14,1470,data/processed/frames_v14_1fps/frame_000050.jpg,v12,4047,13.575328172819772,v12,4017,data/processed/frames_v12_1fps/frame_000135.jpg,2,0.9905204772949219,636,485,0.7625786163522013,15.973222440433915
v14,1500,data/processed/frames_v14_1fps/frame_000051.jpg,v12,4077,13.300033491241713,v13,19513,data/processed/frames_v13_1fps/frame_000652.jpg,5,0.9860538244247437,601,546,0.908485856905158,12.64746654736274
v14,1530,data/processed/frames_v14_1fps/frame_000052.jpg,v12,4077,15.653727619248818,v13,19573,data/processed/frames_v13_1fps/frame_000654.jpg,5,0.9838480353355408,658,650,0.9878419452887538,7.225344873990047
v14,1560,data/processed/frames_v14_1fps/frame_000053.jpg,v12,4137,11.565683071318846,v12,4107,data/processed/frames_v12_1fps/frame_000138.jpg,3,0.9856179356575012,622,489,0.7861736334405145,15.003954409835263
v14,1590,data/processed/frames_v14_1fps/frame_000054.jpg,v12,4167,10.118790226022558,v12,4167,data/processed/frames_v12_1fps/frame_000140.jpg,1,0.9911811947822571,663,506,0.7631975867269984,10.118790226022558
v14,1620,data/processed/frames_v14_1fps/frame_000055.jpg,v12,4197,8.276413327835181,v13,19663,data/processed/frames_v13_1fps/frame_000657.jpg,4,0.9837024211883545,657,617,0.939117199391172,13.773601928412004
v14,1650,data/processed/frames_v14_1fps/frame_000056.jpg,v12,4227,7.247554258544597,v13,19693,data/processed/frames_v13_1fps/frame_000658.jpg,4,0.9857810735702515,619,614,0.9919224555735057,15.132168349140628
v14,1680,data/processed/frames_v14_1fps/frame_000057.jpg,v12,4227,9.7606113155375,v13,19693,data/processed/frames_v13_1fps/frame_000658.jpg,5,0.9800022840499878,593,567,0.9561551433389545,19.750556368580437
v14,1709,data/processed/frames_v14_1fps/frame_000058.jpg,v12,4227,14.085461148737421,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,2,0.9877619743347168,626,517,0.8258785942492013,6.47773408276507
v14,1739,data/processed/frames_v14_1fps/frame_000059.jpg,v12,4257,8.648503688849177,v13,19723,data/processed/frames_v13_1fps/frame_000659.jpg,5,0.9840131402015686,639,620,0.9702660406885759,19.18802854519603
v14,1769,data/processed/frames_v14_1fps/frame_000060.jpg,v12,4287,5.893520948897641,v12,4257,data/processed/frames_v12_1fps/frame_000143.jpg,2,0.9868160486221313,644,512,0.7950310559006211,10.429252716871128
v14,1799,data/processed/frames_v14_1fps/frame_000061.jpg,v12,4287,5.017273545248273,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9883224964141846,669,548,0.8191330343796711,5.017273545248273
v14,1829,data/processed/frames_v14_1fps/frame_000062.jpg,v12,4257,13.213786821908636,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,2,0.9879227876663208,661,547,0.8275340393343419,4.764013359726238
v14,1859,data/processed/frames_v14_1fps/frame_000063.jpg,v12,4287,8.040815267238953,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9885891079902649,642,523,0.8146417445482866,8.040815267238953
v14,1889,data/processed/frames_v14_1fps/frame_000064.jpg,v12,4287,7.378594926805439,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.988835871219635,643,519,0.807153965785381,7.378594926805439
v14,1919,data/processed/frames_v14_1fps/frame_000065.jpg,v12,4287,6.510189309187096,v12,4287,data/processed/frames_v12_1fps/frame_000144.jpg,1,0.9870762825012207,628,509,0.8105095541401274,6.510189309187096
v14,1949,data/processed/frames_v14_1fps/frame_000066.jpg,v12,4287,8.171250658711033,v12,4317,data/processed/frames_v12_1fps/frame_000145.jpg,2,0.9864400029182434,613,483,0.7879282218597063,5.101546841665192
