query_frame_count,raw_lat,raw_lon,smoothed_lat,smoothed_lon,gt_lat,gt_lon,raw_error_m,smoothed_error_m
1680,32.10265117,35.21002576,32.10261578,35.20982113,32.10249712,35.20998108,17.6584,20.0489
1709,32.10266727,35.20992173,32.10258896,35.20987948,32.10248534,35.21003036,22.6958,18.3158
1739,32.10265117,35.21002576,32.10256384,35.20993095,32.10248165,35.21006259,19.1880,15.4208
1769,32.10244338,35.20998278,32.10253741,35.20997364,32.10246708,35.21008978,10.4293,13.4615
1799,32.10241451,35.21008243,32.10251292,35.21000847,32.10245087,35.21011387,5.0173,12.1036
1829,32.10241451,35.21008243,32.10249034,35.21003716,32.10244018,35.21012285,4.7640,9.8221
1859,32.10241451,35.21008243,32.10246991,35.21006167,32.10246378,35.21014478,8.0408,7.8668
1889,32.10241451,35.21008243,32.10245229,35.21008050,32.10244863,35.21014951,7.3786,6.5208
1919,32.10241451,35.21008243,32.10243848,35.21009072,32.10242507,35.21015034,6.5102,5.8164
1949,32.10238463,35.21018208,32.10242774,35.21009621,32.10242875,35.21016744,5.1015,6.7175
1979,32.10238463,35.21018208,32.10241990,35.21009730,32.10244206,35.21019012,6.4379,9.0942
2009,32.10238463,35.21018208,32.10241485,35.21009535,32.10243868,35.21020544,6.4069,10.7152
2039,32.10238463,35.21018208,32.10241681,35.21008698,32.10243979,35.21019176,6.2073,10.2059
2069,32.10241451,35.21008243,32.10243021,35.21007640,32.10244653,35.21017335,9.2845,9.3206
2099,32.10241451,35.21008243,32.10245032,35.21005441,32.10245247,35.21015737,8.2337,9.7120
2129,32.10241451,35.21008243,32.10247233,35.21002908,32.10245741,35.21014139,7.3297,10.7204
2159,32.10241451,35.21008243,32.10249887,35.20999957,32.10246335,35.21012442,6.7262,12.4184
2189,32.10244338,35.20998278,32.10252921,35.20996653,32.10246949,35.21010787,12.1495,14.8942
2219,32.10244338,35.20998278,32.10256302,35.20993048,32.10247444,35.21009090,10.7660,18.0575
2249,32.10244338,35.20998278,32.10259953,35.20989086,32.10248118,35.21007349,9.5330,21.6834
2279,32.10247238,35.20988178,32.10263732,35.20985045,32.10248712,35.21005651,16.5588,25.6344
2309,32.10268779,35.20981849,32.10267453,35.20981042,32.10297634,35.20987132,32.5056,34.0847
2339,32.10293218,35.20984851,32.10270973,35.20977188,32.10298259,35.20984947,5.6123,31.2431
2369,32.10303654,35.20951090,32.10274190,35.20973691,32.10296714,35.20983922,31.9095,26.8656
2399,32.10287843,35.20957478,32.10276943,35.20970492,32.10295370,35.20983098,25.5709,23.7080
2429,32.10289272,35.20956822,32.10279150,35.20967657,32.10293925,35.20982273,24.5528,21.4590
2459,32.10287843,35.20957478,32.10280818,35.20965229,32.10292636,35.20981318,23.1056,20.0811
2489,32.10287843,35.20957478,32.10281865,35.20963378,32.10291336,35.20980325,21.8924,19.1451
2519,32.10286065,35.20957752,32.10282371,35.20961914,32.10289991,35.20979400,20.8763,18.5434
