max_rank,min_inliers,min_inlier_ratio,min_dino_similarity,good_error_m,total_frames,accepted_fixes,no_fix_frames,coverage,coverage_percent,accepted_mean_error_m,accepted_median_error_m,accepted_p90_error_m,accepted_max_error_m,good_fixes,false_fixes,good_fix_rate_among_accepted,good_fix_rate_among_all_frames,mean_time_between_fixes_s,median_time_between_fixes_s,longest_gap_without_fix_s,always_output_mean_error_m,always_output_median_error_m,always_output_good_fix_rate
1,50,0.6,0.9,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.6,0.94,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.6,0.96,20.0,115,15,100,0.13043478260869565,13.043478260869565,17.53806326269096,13.147461241330562,35.04954818881364,49.43162600311435,10,5,0.6666666666666666,0.08695652173913043,5.857571428571429,2.0010000000000012,31.995999999999995,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.6,0.98,20.0,115,12,103,0.10434782608695652,10.434782608695652,13.746883521842815,9.31248848918613,27.75470044585524,39.06546971223486,10,2,0.8333333333333334,0.08695652173913043,5.999272727272728,2.0009999999999977,48.00999999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.6,0.99,20.0,115,5,110,0.043478260869565216,4.3478260869565215,12.697330135276292,13.147461241330562,16.082922495131623,16.31601132541602,5,0,1.0,0.043478260869565216,12.00225,10.493,65.993,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.7,0.9,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.7,0.94,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.7,0.96,20.0,115,15,100,0.13043478260869565,13.043478260869565,17.53806326269096,13.147461241330562,35.04954818881364,49.43162600311435,10,5,0.6666666666666666,0.08695652173913043,5.857571428571429,2.0010000000000012,31.995999999999995,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.7,0.98,20.0,115,12,103,0.10434782608695652,10.434782608695652,13.746883521842815,9.31248848918613,27.75470044585524,39.06546971223486,10,2,0.8333333333333334,0.08695652173913043,5.999272727272728,2.0009999999999977,48.00999999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.7,0.99,20.0,115,5,110,0.043478260869565216,4.3478260869565215,12.697330135276292,13.147461241330562,16.082922495131623,16.31601132541602,5,0,1.0,0.043478260869565216,12.00225,10.493,65.993,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.8,0.9,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.8,0.94,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.8,0.96,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.8,0.98,20.0,115,9,106,0.0782608695652174,7.82608695652174,14.05281764062854,8.040815267238953,31.033626665392422,39.06546971223486,7,2,0.7777777777777778,0.06086956521739131,7.99875,1.0010000000000023,54.983000000000004,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.8,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.9,0.9,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.9,0.94,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.9,0.96,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.9,0.98,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.9,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.95,0.9,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.95,0.94,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.95,0.96,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.95,0.98,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,50,0.95,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.6,0.9,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.6,0.94,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.6,0.96,20.0,115,15,100,0.13043478260869565,13.043478260869565,17.53806326269096,13.147461241330562,35.04954818881364,49.43162600311435,10,5,0.6666666666666666,0.08695652173913043,5.857571428571429,2.0010000000000012,31.995999999999995,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.6,0.98,20.0,115,12,103,0.10434782608695652,10.434782608695652,13.746883521842815,9.31248848918613,27.75470044585524,39.06546971223486,10,2,0.8333333333333334,0.08695652173913043,5.999272727272728,2.0009999999999977,48.00999999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.6,0.99,20.0,115,5,110,0.043478260869565216,4.3478260869565215,12.697330135276292,13.147461241330562,16.082922495131623,16.31601132541602,5,0,1.0,0.043478260869565216,12.00225,10.493,65.993,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.7,0.9,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.7,0.94,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.7,0.96,20.0,115,15,100,0.13043478260869565,13.043478260869565,17.53806326269096,13.147461241330562,35.04954818881364,49.43162600311435,10,5,0.6666666666666666,0.08695652173913043,5.857571428571429,2.0010000000000012,31.995999999999995,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.7,0.98,20.0,115,12,103,0.10434782608695652,10.434782608695652,13.746883521842815,9.31248848918613,27.75470044585524,39.06546971223486,10,2,0.8333333333333334,0.08695652173913043,5.999272727272728,2.0009999999999977,48.00999999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.7,0.99,20.0,115,5,110,0.043478260869565216,4.3478260869565215,12.697330135276292,13.147461241330562,16.082922495131623,16.31601132541602,5,0,1.0,0.043478260869565216,12.00225,10.493,65.993,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.8,0.9,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.8,0.94,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.8,0.96,20.0,115,11,104,0.09565217391304348,9.565217391304348,18.092063410787866,10.584161711133305,39.06546971223486,49.43162600311435,7,4,0.6363636363636364,0.06086956521739131,8.2006,1.0010000000000026,53.982,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.8,0.98,20.0,115,9,106,0.0782608695652174,7.82608695652174,14.05281764062854,8.040815267238953,31.033626665392422,39.06546971223486,7,2,0.7777777777777778,0.06086956521739131,7.99875,1.0010000000000023,54.983000000000004,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.8,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.9,0.9,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.9,0.94,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.9,0.96,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.9,0.98,20.0,115,4,111,0.034782608695652174,3.4782608695652173,15.115754001235558,11.865811476231933,24.262204504976438,29.025665903681812,3,1,0.75,0.02608695652173913,1.3343333333333334,1.001,109.999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.9,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.95,0.9,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.95,0.94,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.95,0.96,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.95,0.98,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,100,0.95,0.99,20.0,115,3,112,0.02608695652173913,2.608695652173913,10.479116700420139,10.584161711133305,12.634801335291112,13.147461241330562,3,0,1.0,0.02608695652173913,1.0005,1.0005,112.00099999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,150,0.6,0.9,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,150,0.6,0.94,20.0,115,16,99,0.1391304347826087,13.91304347826087,18.695384100529665,14.440375245517794,37.56033319017253,49.43162600311435,10,6,0.625,0.08695652173913043,5.934200000000001,2.0010000000000048,26.023,18.829827202391794,15.214161450526598,0.6521739130434783
1,150,0.6,0.96,20.0,115,15,100,0.13043478260869565,13.043478260869565,17.53806326269096,13.147461241330562,35.04954818881364,49.43162600311435,10,5,0.6666666666666666,0.08695652173913043,5.857571428571429,2.0010000000000012,31.995999999999995,18.829827202391794,15.214161450526598,0.6521739130434783
1,150,0.6,0.98,20.0,115,12,103,0.10434782608695652,10.434782608695652,13.746883521842815,9.31248848918613,27.75470044585524,39.06546971223486,10,2,0.8333333333333334,0.08695652173913043,5.999272727272728,2.0009999999999977,48.00999999999999,18.829827202391794,15.214161450526598,0.6521739130434783
1,150,0.6,0.99,20.0,115,5,110,0.043478260869565216,4.3478260869565215,12.697330135276292,13.147461241330562,16.082922495131623,16.31601132541602,5,0,1.0,0.043478260869565216,12.00225,10.493,65.993,18.829827202391794,15.214161450526598,0.6521739130434783
