query_frame_count,time_s,decision,seconds_since_previous_fix,position_error_m,is_good_fix,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_inlier_count,lg_inlier_ratio,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count
1,0.0,FIX,,7.705727148796552,True,1,0.997356116771698,864,0.9965397923875432,v13,24879
31,1.0,FIX,1.0,10.584161711133305,True,1,0.9948263168334961,829,0.9951980792316927,v13,24879
61,2.001,FIX,1.001,13.147461241330562,True,1,0.9947047233581543,746,0.9907038512616202,v13,24879
91,3.002,FIX,1.001,19.43898802330813,True,2,0.9915347695350647,590,0.9546925566343042,v13,24879
121,4.003,FIX,1.0010000000000003,29.025665903681812,False,1,0.9890086650848389,432,0.9037656903765691,v13,24879
151,5.004,FIX,1.0009999999999994,39.06546971223486,False,1,0.9848148226737976,345,0.8582089552238806,v13,24819
181,6.005,NO_FIX,,49.43162600311435,False,1,0.9782059192657471,271,0.8442367601246106,v13,24819
211,7.006,NO_FIX,,60.06595839690396,False,4,0.96917325258255,214,0.7642857142857142,v13,24879
241,8.007,NO_FIX,,70.60029165844975,False,3,0.9613637924194336,157,0.6885964912280702,v13,24819
271,9.008,NO_FIX,,31.730990981344533,False,2,0.9584711194038391,11,0.15942028985507245,v12,2369
301,10.008,NO_FIX,,38.55713439162289,False,3,0.9591482281684875,181,0.923469387755102,v13,9143
331,11.009,NO_FIX,,46.9226291623067,False,4,0.9544934630393982,6,0.13953488372093023,v11,24865
361,12.01,NO_FIX,,31.84876727418122,False,4,0.9559626579284668,7,0.21212121212121213,v11,23966
391,13.011,NO_FIX,,32.61931308318333,False,4,0.9593558311462402,9,0.18,v11,23996
421,14.012,NO_FIX,,72.5289749351578,False,4,0.9599378108978271,149,0.49174917491749176,v13,9472
451,15.013,NO_FIX,,66.7313323121365,False,1,0.9660516977310181,173,0.49570200573065903,v13,9472
481,16.014,NO_FIX,,41.882284373749556,False,3,0.9671540856361389,204,0.4744186046511628,v13,9502
511,17.015,NO_FIX,,35.88977633653935,False,2,0.971153199672699,249,0.516597510373444,v13,9502
541,18.016,NO_FIX,,13.030109314622692,False,5,0.9705800414085388,281,0.5564356435643565,v13,9532
