query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
v1,1,data/processed/frames_v1_1fps/frame_000001.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.8492115139961243,10,8.569846734306905,32.102450799701295,35.2097517069058,32.102756920005525,35.20942467628923,45.95950205560232
v1,31,data/processed/frames_v1_1fps/frame_000002.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.8429798483848572,10,8.514969264249867,32.102451162760794,35.2097513080397,32.102756920005525,35.20942467628923,45.904297514802614
v1,61,data/processed/frames_v1_1fps/frame_000003.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.8325106501579285,10,8.486899638314013,32.10245149992999,35.2097513438247,32.102756920005525,35.20942467628923,45.87874006481243
v1,91,data/processed/frames_v1_1fps/frame_000004.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.8386681079864502,10,9.318314314471364,32.10244316510217,35.20975271585985,32.102756920005525,35.20942467628923,46.6561714251557
v1,118,data/processed/frames_v1_1fps/frame_000005.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.8544445037841797,10,7.128937501542963,32.102407388042565,35.20975732624294,32.102756920005525,35.20942467628923,49.97952625754583
v1,148,data/processed/frames_v1_1fps/frame_000006.jpg,v2,3331,data/processed/frames_v2_1fps/frame_000113.jpg,0.9051392674446106,10,2.2577018349849967,32.102361807086396,35.20976508174515,32.102756920005525,35.20942467628923,54.45158804416934
v1,175,data/processed/frames_v1_1fps/frame_000007.jpg,v2,3480,data/processed/frames_v2_1fps/frame_000118.jpg,0.9235681891441345,10,4.36387635483176,32.10230785541488,35.20977314721547,32.102346515693924,35.20978080953568,4.36387635483176
v1,205,data/processed/frames_v1_1fps/frame_000008.jpg,v2,3480,data/processed/frames_v2_1fps/frame_000118.jpg,0.9529880285263062,10,10.24589014860989,32.102254478491325,35.20978171479447,32.102346515693924,35.20978080953568,10.24589014860989
v1,235,data/processed/frames_v1_1fps/frame_000009.jpg,v2,3480,data/processed/frames_v2_1fps/frame_000118.jpg,0.9512134194374084,10,16.194022587830784,32.10220132539181,35.209791517636084,32.102346515693924,35.20978080953568,16.194022587830784
v1,265,data/processed/frames_v1_1fps/frame_000010.jpg,v2,1,data/processed/frames_v2_1fps/frame_000001.jpg,0.9528267979621887,10,22.402659285718872,32.10214608763994,35.20980221376217,32.10209867267387,35.20942613301477,35.854677448045884
