frame_a,frame_b,dt_s,alt_mean_m,gsd_m_px,dx_px,dy_px,dr_dx_m,dr_dy_m,speed_m_s,n_matches,cum_x_m,cum_y_m
1799,1829,1.001,117.4,0.1230,-1.88,9.38,0.231,-1.153,1.17,318,-22.67,-554.45
1829,1859,1.000,115.5,0.1210,-3.75,7.50,0.454,-0.908,1.01,331,-22.22,-555.36
1859,1889,1.001,113.6,0.1190,-3.75,11.25,0.446,-1.339,1.41,329,-21.77,-556.70
1889,1919,1.001,111.6,0.1169,-3.75,13.12,0.438,-1.534,1.59,325,-21.33,-558.23
1919,1949,1.001,109.7,0.1149,-1.88,15.00,0.215,-1.723,1.73,335,-21.12,-559.95
1949,1979,1.001,107.8,0.1129,0.00,15.00,-0.000,-1.693,1.69,329,-21.12,-561.65
1979,2009,1.001,105.9,0.1109,-1.88,3.75,0.208,-0.416,0.46,320,-20.91,-562.06
2009,2039,1.001,103.5,0.1085,-3.75,-18.75,0.407,2.034,2.07,337,-20.50,-560.03
2039,2069,1.001,100.7,0.1054,-4.69,-18.75,0.494,1.977,2.04,310,-20.01,-558.05
2069,2099,1.001,97.7,0.1023,-3.75,-15.00,0.384,1.535,1.58,322,-19.63,-556.52
2099,2129,1.001,94.7,0.0992,-3.75,-18.75,0.372,1.860,1.89,321,-19.25,-554.66
2129,2159,1.000,91.7,0.0960,-3.75,-18.75,0.360,1.801,1.84,314,-18.89,-552.86
2159,2189,1.001,88.7,0.0929,-3.75,-20.62,0.348,1.915,1.94,320,-18.55,-550.94
2189,2219,1.001,85.6,0.0897,-1.88,-22.50,0.168,2.017,2.02,321,-18.38,-548.92
2219,2249,1.001,82.7,0.0866,-3.75,-22.50,0.325,1.948,1.97,328,-18.05,-546.98
2249,2279,1.001,79.7,0.0835,-1.88,-20.62,0.157,1.722,1.73,323,-17.90,-545.25
2279,2309,1.001,76.7,0.0803,26.25,-18.75,-2.109,1.506,2.59,300,-20.01,-543.75
2309,2339,1.001,73.7,0.0772,393.75,-65.62,-30.396,5.066,30.78,217,-50.40,-538.68
2339,2369,1.001,70.7,0.0741,741.56,83.44,-54.915,-6.179,55.21,128,-105.32,-544.86
2369,2399,1.001,67.7,0.0709,836.25,-15.94,-59.300,1.130,59.25,124,-164.62,-543.73
2399,2429,1.001,64.7,0.0678,28.12,-48.75,-1.906,3.304,3.81,325,-166.52,-540.43
2429,2459,1.000,61.7,0.0646,-15.00,-31.88,0.969,2.058,2.27,341,-165.55,-538.37
2459,2489,1.001,58.7,0.0614,-15.00,-35.62,0.921,2.189,2.37,331,-164.63,-536.18
2489,2519,1.001,55.7,0.0583,-18.75,-37.50,1.094,2.188,2.44,341,-163.54,-533.99
2519,2549,1.001,52.7,0.0552,-20.62,-41.25,1.138,2.277,2.54,346,-162.40,-531.71
2549,2579,1.001,49.7,0.0521,-19.69,-45.00,1.025,2.343,2.55,348,-161.38,-529.37
2579,2609,1.001,46.7,0.0489,-21.56,-50.62,1.055,2.476,2.69,336,-160.32,-526.90
2609,2639,1.001,43.7,0.0458,-15.00,-75.00,0.687,3.433,3.50,289,-159.63,-523.46
2639,2669,1.001,40.7,0.0426,1.88,-90.00,-0.080,3.837,3.83,291,-159.71,-519.63
