frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
40,1.3013,2026:04:27 12:27:36.301Z,32.1024828302316,35.2096861609132,49.8,4.2,6.1,-156.7,-45.3,-145.9
41,1.33466666666667,2026:04:27 12:27:36.335Z,32.1024828503834,35.2096861516053,49.8,3.7,6.4,-153.4,-45.3,-145.9
42,1.36803333333333,2026:04:27 12:27:36.368Z,32.1024828503834,35.2096861516053,49.8,3.7,6.4,-153.4,-45.3,-145.9
43,1.4014,2026:04:27 12:27:36.401Z,32.1024828503834,35.2096861516053,49.8,3.7,6.4,-153.4,-45.3,-140.5
44,1.43476666666667,2026:04:27 12:27:36.435Z,32.1024829390877,35.2096860501543,49.8,3.6,6.6,-147.6,-45.3,-140.5
45,1.46813333333333,2026:04:27 12:27:36.468Z,32.1024829390877,35.2096860501543,49.8,3.6,6.6,-147.6,-45.3,-140.5
46,1.5015,2026:04:27 12:27:36.501Z,32.1024829390877,35.2096860501543,49.8,3.6,6.6,-147.6,-45.3,-134.6
47,1.53486666666667,2026:04:27 12:27:36.535Z,32.1024829556753,35.2096860428238,49.8,3.6,6.5,-141.6,-45.3,-134.6
48,1.56823333333333,2026:04:27 12:27:36.568Z,32.1024829556753,35.2096860428238,49.8,3.6,6.5,-141.6,-45.3,-134.6
49,1.6016,2026:04:27 12:27:36.602Z,32.1024829556753,35.2096860428238,49.8,3.6,6.5,-141.6,-45.3,-128.6
50,1.63496666666667,2026:04:27 12:27:36.635Z,32.1024830078543,35.2096861516407,49.8,3.4,6.5,-135.8,-45.3,-128.6
51,1.66833333333333,2026:04:27 12:27:36.668Z,32.1024830078543,35.2096861516407,49.8,3.4,6.5,-135.8,-45.3,-128.6
52,1.7017,2026:04:27 12:27:36.702Z,32.1024830078543,35.2096861516407,49.8,3.4,6.5,-135.8,-45.3,-122.6
53,1.73506666666667,2026:04:27 12:27:36.735Z,32.1024830424861,35.209686255365,49.8,2.4,6.9,-130.1,-45.3,-122.6
54,1.76843333333333,2026:04:27 12:27:36.768Z,32.1024830424861,35.209686255365,49.8,2.4,6.9,-130.1,-45.3,-122.6
55,1.8018,2026:04:27 12:27:36.802Z,32.1024830424861,35.209686255365,49.8,2.4,6.9,-130.1,-45.2,-116.6
56,1.83516666666667,2026:04:27 12:27:36.835Z,32.1024830576685,35.2096864546411,49.8,1.3,7.1,-124.4,-45.2,-116.6
57,1.86853333333333,2026:04:27 12:27:36.869Z,32.1024830576685,35.2096864546411,49.8,1.3,7.1,-124.4,-45.2,-116.6
58,1.9019,2026:04:27 12:27:36.902Z,32.1024830576685,35.2096864546411,49.8,1.3,7.1,-124.4,-45.2,-110.6
59,1.93526666666667,2026:04:27 12:27:36.935Z,32.1024830900212,35.2096866008008,49.8,0.2,7.3,-118.6,-45.2,-110.6
60,1.96863333333333,2026:04:27 12:27:36.969Z,32.1024830900212,35.2096866008008,49.8,0.2,7.3,-118.6,-45.2,-110.6
61,2.002,2026:04:27 12:27:37.002Z,32.1024830900212,35.2096866008008,49.8,0.2,7.3,-118.6,-45.2,-104.6
62,2.03536666666667,2026:04:27 12:27:37.035Z,32.1024831109357,35.2096868101888,49.8,-0.8,7.3,-112.8,-45.2,-104.6
63,2.06873333333333,2026:04:27 12:27:37.069Z,32.1024831109357,35.2096868101888,49.8,-0.8,7.3,-112.8,-45.2,-104.6
64,2.1021,2026:04:27 12:27:37.102Z,32.1024831109357,35.2096868101888,49.8,-0.8,7.3,-112.8,-45.2,-98.6
65,2.13546666666667,2026:04:27 12:27:37.135Z,32.1024831696434,35.2096870459479,49.8,-1.8,7.0,-107.1,-45.2,-98.6
