frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2026:04:27 12:27:35.000Z,0.0,32.1024824483996,35.2096866466701,0.0,0.0,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.566077624797977,-42.72171836674222,32.10209867267387,35.20942613301477
2,2026:04:27 12:27:35.033Z,0.0333666666666667,32.1024825615483,35.2096866736076,0.002540168825405892,0.012595656059226412,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.563537455972572,-42.709122710683,32.10209878582257,35.20942615995227
3,2026:04:27 12:27:35.067Z,0.0667333333333333,32.1024825615483,35.2096866736076,0.002540168825405892,0.012595656059226412,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.563537455972572,-42.709122710683,32.10209878582257,35.20942615995227
4,2026:04:27 12:27:35.100Z,0.1001,32.1024825615483,35.2096866736076,0.002540168825405892,0.012595656059226412,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.563537455972572,-42.709122710683,32.10209878582257,35.20942615995227
5,2026:04:27 12:27:35.133Z,0.133466666666667,32.1024826010638,35.209686666401,0.0018605961632885552,0.016994501131884276,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.564217028634687,-42.70472386561034,32.10209882533807,35.209426152745664
6,2026:04:27 12:27:35.167Z,0.166833333333333,32.1024826010638,35.209686666401,0.0018605961632885552,0.016994501131884276,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.564217028634687,-42.70472386561034,32.10209882533807,35.209426152745664
7,2026:04:27 12:27:35.200Z,0.2002,32.1024826010638,35.209686666401,0.0018605961632885552,0.016994501131884276,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.564217028634687,-42.70472386561034,32.10209882533807,35.209426152745664
8,2026:04:27 12:27:35.234Z,0.233566666666667,32.1024826956286,35.2096866866427,0.003769360385233431,0.027521407094357686,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.562308264412742,-42.69419695964787,32.10209891990287,35.209426172987364
9,2026:04:27 12:27:35.267Z,0.266933333333333,32.1024826956286,35.2096866866427,0.003769360385233431,0.027521407094357686,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.562308264412742,-42.69419695964787,32.10209891990287,35.209426172987364
10,2026:04:27 12:27:35.300Z,0.3003,32.1024826956286,35.2096866866427,0.003769360385233431,0.027521407094357686,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.562308264412742,-42.69419695964787,32.10209891990287,35.209426172987364
11,2026:04:27 12:27:35.334Z,0.333666666666667,32.1024827391539,35.2096866930198,0.004370712213427136,0.03236662053344652,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.56170691258455,-42.68935174620878,32.10209896342817,35.20942617936447
12,2026:04:27 12:27:35.367Z,0.367033333333333,32.1024827391539,35.2096866930198,0.004370712213427136,0.03236662053344652,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.56170691258455,-42.68935174620878,32.10209896342817,35.20942617936447
13,2026:04:27 12:27:35.400Z,0.4004,32.1024827391539,35.2096866930198,0.004370712213427136,0.03236662053344652,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.56170691258455,-42.68935174620878,32.10209896342817,35.20942617936447
14,2026:04:27 12:27:35.434Z,0.433766666666667,32.1024827855153,35.2096865778029,-0.006494081959305876,0.037527547956334506,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.572571706757284,-42.684190818785886,32.10209900978957,35.20942606414757
15,2026:04:27 12:27:35.467Z,0.467133333333333,32.1024827855153,35.2096865778029,-0.006494081959305876,0.037527547956334506,49.8,209.9,gimbal_yaw,45.3,gimbal_pitch,49.28120727087395,-24.572571706757284,-42.684190818785886,32.10209900978957,35.20942606414757
