frame_count,sample_time,gps_datetime,latitude,longitude,rel_alt,drone_roll,drone_pitch,drone_yaw,gimbal_pitch,gimbal_yaw
1,0.0,2026:04:27 12:22:26.000Z,32.1026240680275,35.2097240515361,19.6,8.2,-0.1,179.0,-45.2,172.3
2,0.0333666666666667,2026:04:27 12:22:26.033Z,32.1026240680275,35.2097240515361,19.6,8.2,-0.1,179.0,-45.2,172.3
3,0.0667333333333333,2026:04:27 12:22:26.067Z,32.1026240404022,35.2097240178751,19.6,8.1,0.5,179.1,-45.2,172.3
4,0.1001,2026:04:27 12:22:26.100Z,32.1026240404022,35.2097240178751,19.6,8.1,0.5,179.1,-45.2,172.3
5,0.133466666666667,2026:04:27 12:22:26.133Z,32.1026240404022,35.2097240178751,19.6,8.1,0.5,179.1,-45.2,172.3
6,0.166833333333333,2026:04:27 12:22:26.167Z,32.1026240435252,35.2097239580793,19.6,7.9,0.6,179.1,-45.2,172.3
7,0.2002,2026:04:27 12:22:26.200Z,32.1026240435252,35.2097239580793,19.6,7.9,0.6,179.1,-45.2,172.3
8,0.233566666666667,2026:04:27 12:22:26.234Z,32.1026240435252,35.2097239580793,19.6,7.9,0.6,179.1,-45.2,172.3
9,0.266933333333333,2026:04:27 12:22:26.267Z,32.1026240974456,35.2097238972115,19.6,7.6,0.3,179.0,-45.2,172.3
10,0.3003,2026:04:27 12:22:26.300Z,32.1026240974456,35.2097238972115,19.6,7.6,0.3,179.0,-45.2,172.3
11,0.333666666666667,2026:04:27 12:22:26.334Z,32.1026240974456,35.2097238972115,19.6,7.6,0.3,179.0,-45.2,172.3
12,0.367033333333333,2026:04:27 12:22:26.367Z,32.102624142676,35.2097238315873,19.6,7.4,0.1,179.0,-45.2,172.3
13,0.4004,2026:04:27 12:22:26.400Z,32.102624142676,35.2097238315873,19.6,7.4,0.1,179.0,-45.2,172.3
14,0.433766666666667,2026:04:27 12:22:26.434Z,32.102624142676,35.2097238315873,19.6,7.4,0.1,179.0,-45.2,172.3
15,0.467133333333333,2026:04:27 12:22:26.467Z,32.1026241728631,35.2097237844148,19.6,7.2,0.1,179.1,-45.2,172.3
16,0.5005,2026:04:27 12:22:26.500Z,32.1026241728631,35.2097237844148,19.6,7.2,0.1,179.1,-45.2,172.3
17,0.533866666666667,2026:04:27 12:22:26.534Z,32.1026241728631,35.2097237844148,19.6,7.2,0.1,179.1,-45.2,172.3
